;Comments
cn31512;Tout neuf, des plus et des moins. Parmi les moins, un touchpad/souris difficile à contrôler par rapport à d'autres portables moins chers.Pas de possibilité de connection internet Connection téléphone compliquée a cause de plusieurs versions du logicielUne seule année de farantieEt des délais de livraisons non respectés, je dirais explosés Pour le reste, à voir dans le temps
cn31105;Livraison ok, ordinateur super
cn31105;Toujours parfait. Merci de cet envoi rapide
cn31105;bel ordinateur et correspond à nos attentes. trop tôt pour juger des performances.
cn31105;PC de qualité et solide..
cn31105;Ordi pour du bureau, vraiment. Même un petit jeu rame. Bon je ne l’ai pas acheté pour ça. Par contre j’hallucine que l’ordinateur chauffe à ce point pour certaine tâche qui se le basique pour un PC. Je comprends pas.
cn31105;Qualité de l’image très médiocre pour un ordinateur de ce prix. Assez déçue de cet achat.
cn31105;Ordinateur de très bonne qualité. Cependant le gros point faible est la connexion internet, en effet la connexion à une box ou à un point d'accès internet peut être compliqué, ou bien l'ordinateur peut se déconnecter tout seul du wifi
cn31105;Machine fragile. La régulation de température ne fonctionne pas bien.
cn31105;PAS SATISFAIT DU TOUT DE CET ACHAT ! J’ai Acheté 2 pc dell pour ma sociéte. Celui-ci étant plus onéreux que l’autre mais insatisfaction sur plusieurs points. Qualité de finition, probleme de touche (majuscule reste allumé), performance de la batterie et surtout gros probleme de connection avec le wi fi (alors que l’autre pc ne rencontre aucun probleme). PC inutilisable professionnellement en l’état …
cn31509;Tout neuf, des plus et des moins. Parmi les moins, un touchpad/souris difficile à contrôler par rapport à d'autres portables moins chers.Pas de possibilité de connection internet Connection téléphone compliquée a cause de plusieurs versions du logicielUne seule année de farantieEt des délais de livraisons non respectés, je dirais explosés Pour le reste, à voir dans le temps
cn31505sc11;Tout neuf, des plus et des moins. Parmi les moins, un touchpad/souris difficile à contrôler par rapport à d'autres portables moins chers.Pas de possibilité de connection internet Connection téléphone compliquée a cause de plusieurs versions du logicielUne seule année de farantieEt des délais de livraisons non respectés, je dirais explosés Pour le reste, à voir dans le temps
cn31118sc11;Livraison ok, ordinateur super
cn31118sc11;Toujours parfait. Merci de cet envoi rapide
