,prix en €,vitesse processeur en GHz,système d'exploitation,carte vidéo,mémoire en Go,capacité disque en Go,écran en pouces,batterie en wh
cn55524,699.3,4.5,Windows 11,nvidia,8.0,256.0,15.6,56.0
cng3027,829.18,4.5,Windows 10,nvidia,8.0,512.0,15.6,51.0
cn55522,999.3,4.5,Windows 11,nvidia,16.0,512.0,15.6,56.0
cn55517,999.3,4.5,Windows 11,nvidia,8.0,512.0,15.6,56.0
cn55403,999.3,4.2,Windows 11,nvidia,8.0,256.0,15.6,56.0
cn55538,1099.3,4.1,Windows 11,nvidia,8.0,512.0,15.6,56.0
cng5122,1149.3,4.5,Windows 11,nvidia,8.0,512.0,15.6,56.0
cng3011,1169.18,5.0,Windows 10,nvidia,16.0,512.0,15.6,68.0
cng5118,1249.29,4.5,Windows 11,nvidia,16.0,512.0,15.6,56.0
cn55411,1249.29,3.2,Windows 11,nvidia,16.0,512.0,15.6,56.0
cn55409,1249.3,3.2,Windows 11,nvidia,16.0,512.0,15.6,86.0
cng5101,1399.29,4.6,Windows 11,nvidia,16.0,512.0,15.6,56.0
cng5113,1549.29,4.6,Windows 11,nvidia,16.0,512.0,15.6,86.0
cng5108,1599.3,4.6,Windows 11,nvidia,16.0,512.0,15.6,86.0
cng5116,1749.3,4.6,Windows 11,nvidia,16.0,1000.0,15.6,86.0
cn55401sc11,949.31,4.2,Windows 11,nvidia,8.0,512.0,15.6,56.0
cng5106sc11,999.3,4.5,Windows 11,nvidia,8.0,512.0,15.6,56.0
cn55521sc11,1299.3,5.0,Windows 11,nvidia,16.0,512.0,15.6,86.0
cn55408sc11,1399.29,3.2,Windows 11,nvidia,16.0,1000.0,15.6,86.0
cng5121sc11,1399.31,4.6,Windows 11,nvidia,16.0,1000.0,15.6,86.0
cng5110sc11,1449.3,4.6,Windows 11,nvidia,16.0,512.0,15.6,86.0
nawm15r502sc11,1797.98,4.4,Windows 11,nvidia,16.0,512.0,15.6,56.0
nawm15r503sc11,1997.98,4.4,Windows 11,nvidia,16.0,512.0,15.6,86.0
nawm15r602,1997.98,4.5,Windows11,nvidia,16.0,512.0,15.6,86.0
nawm15r612sc,2097.98,4.6,Windows 10,nvidia,16.0,512.0,15.6,86.0
nawm15r504,2097.98,4.4,Windows11,nvidia,16.0,1000.0,15.6,86.0
n00awm15r401,2247.99,5.0,Windows11,nvidia,16.0,512.0,15.6,86.0
nawm15r604,2297.98,4.6,Windows11,nvidia,16.0,1000.0,15.6,86.0
n00awm17r401,2347.99,5.0,Windows10,nvidia,16.0,512.0,17.3,86.0
n00awm15r403,2497.99,5.0,Windows11,nvidia,16.0,512.0,15.6,86.0
nawx17r101,2597.98,4.6,Windows11,nvidia,16.0,1000.0,17.3,87.0
nawm15r609,2647.99,4.6,Windows11,nvidia,32.0,1000.0,15.6,86.0
nawm15r505,2647.99,4.6,Windows11,nvidia,16.0,1000.0,15.6,86.0
nawx15r102,2747.98,4.6,Windows11,nvidia,16.0,1000.0,15.6,87.0
nawm15r506,2747.98,4.6,Windows11,nvidia,32.0,1000.0,15.6,86.0
nawx17r103,2897.98,4.6,Windows11,nvidia,16.0,1000.0,17.3,87.0
nawx17r102,2997.99,4.6,Windows11,nvidia,16.0,1000.0,17.3,87.0
nawx15r106,3047.98,4.6,Windows11,nvidia,32.0,1000.0,15.6,87.0
nawm15r607sc,3097.99,4.6,Windows 10,nvidia,16.0,1000.0,15.6,86.0
nawx15r103,3147.99,4.6,Windows11,nvidia,32.0,1000.0,15.6,87.0
nawx17r104,3347.98,4.6,Windows11,nvidia,32.0,1000.0,17.3,87.0
nawx15r107,3347.98,4.9,Windows11,nvidia,32.0,1000.0,15.6,87.0
nawx15r104,3347.98,4.6,Windows11,nvidia,32.0,1000.0,15.6,87.0
nawx17r105,3397.99,4.6,Windows11,nvidia,16.0,1000.0,17.3,87.0
nawm15r610,3397.99,4.6,Windows11,nvidia,32.0,1000.0,15.6,86.0
nawx15r108,3547.99,4.9,Windows11,nvidia,32.0,1000.0,15.6,87.0
n00awm15r407,3647.98,5.3,Windows11,nvidia,32.0,2000.0,15.6,86.0
nawx15r105,3647.98,4.6,Windows11,nvidia,32.0,1000.0,15.6,87.0
nawx15r109,3847.99,4.9,Windows11,nvidia,32.0,1000.0,15.6,87.0
n00awm17r407,3847.99,5.3,Windows10,nvidia,32.0,2000.0,15.6,86.0
nawx17r107,3897.99,5.0,Windows11,nvidia,16.0,1000.0,17.3,87.0
n00awm17r311,3998.56,5.3,Windows10,nvidia,32.0,1000.0,15.6,86.0
nawx17r106,4047.99,4.6,Windows11,nvidia,32.0,1000.0,15.6,87.0
nawx17r108,4397.98,5.0,Windows11,nvidia,32.0,1000.0,15.6,87.0
cn31006sc11,329.04,2.8,windows 11,intel,4.0,128.0,15.6,41.0
cn31003sc11,329.04,3.1,windows 11,intel,4.0,128.0,15.6,41.0
cn31512,449.04,2.3,windows 11,amd,4.0,256.0,15.6,41.0
cn31105,499.03,4.1,windows 11,intel,8.0,256.0,15.6,41.0
cn31509,499.03,2.6,windows 11,amd,8.0,256.0,15.6,41.0
cn31505sc11,499.04,2.1,windows 11,amd,8.0,256.0,15.6,41.0
cn31118sc11,549.04,4.1,windows 11,intel,8.0,512.0,15.6,41.0
cn31110sc11,569.04,4.2,windows 11,intel,8.0,256.0,15.6,41.0
cn31507,579.05,2.1,windows 11,amd,8.0,512.0,15.6,41.0
cn53005sc11,599.04,3.7,windows 11,intel,8.0,256.0,13.3,54.0
cn31134sc11,599.04,3.6,windows 11,intel,8.0,512.0,15.6,41.0
cn51107sc11,619.03,4.0,windows 11,amd,8.0,512.0,14.0,4.0
cn51106sc11,629.04,4.0,windows 11,amd,8.0,256.0,14.0,4.0
cn54303,649.03,3.7,windows 11,intel,8.0,256.0,14.0,1.0
cn74501sc11,678.8,4.0,windows 11,amd,8.0,256.0,14.0,4.0
cn31103,679.03,4.2,windows 11,intel,8.0,256.0,15.6,41.0
cn51525sc11,679.04,4.5,windows 11,intel,8.0,256.0,15.6,4.0
cn51024sc11,679.04,4.5,windows 11,intel,8.0,256.0,14.0,1.0
cn53001sc,679.04,4.4,windows 10,intel,8.0,256.0,13.3,54.0
cn74502,698.81,4.0,windows 11,amd,8.0,512.0,14.0,4.0
cn31502,699.04,2.3,windows 11,amd,8.0,512.0,15.6,41.0
cn51103sc,729.04,1.8,windows 10,amd,8.0,512.0,14.0,4.0
cn75605sc,749.04,4.2,windows 10,intel,8.0,256.0,15.6,3.0
cn51532,749.04,4.5,windows 11,intel,8.0,512.0,15.6,4.0
cn51209sc11,749.04,1.8,windows 11,amd,8.0,512.0,15.6,4.0
cn53009sc11,779.04,4.5,windows 11,intel,8.0,512.0,13.3,54.0
cn51210sc11,799.03,1.8,windows 11,amd,16.0,512.0,15.6,4.0
cn51108sc11,799.03,1.8,windows 11,amd,8.0,512.0,14.0,4.0
cn74004,799.03,4.7,windows 10,intel,8.0,512.0,14.5,3.0
cn51023sc11,799.04,5.0,windows 11,intel,8.0,512.0,14.0,1.0
cn51526sc11,829.04,5.0,windows 11,intel,8.0,512.0,15.6,4.0
cn53006sc,829.04,4.8,windows 10,intel,8.0,512.0,13.3,54.0
cn54317sc11,829.04,5.0,windows 11,intel,8.0,512.0,14.0,1.0
cn54310sc,829.04,4.7,windows 10,intel,8.0,512.0,14.0,1.0
cn51021,829.04,4.5,windows 11,intel,8.0,512.0,14.0,1.0
cn74503sc11,848.8,1.8,windows 11,amd,16.0,512.0,14.0,4.0
cn31116,849.04,4.7,windows 11,intel,16.0,512.0,15.6,41.0
cn76104sc11,849.18,4.5,windows 11,intel,8.0,512.0,16.0,3.0
cn51530,899.04,5.0,windows 11,intel,16.0,512.0,15.6,4.0
cn70607,899.04,4.2,windows 11,intel,8.0,512.0,13.3,3.0
cn51025,899.04,5.0,windows 11,intel,16.0,512.0,14.0,1.0
cn51022sc11,949.03,5.0,windows 11,intel,16.0,1000.0,14.0,1.0
cn77606sc11,999.04,4.2,windows 11,intel,8.0,512.0,17.0,68.0
cn54315,999.04,5.0,windows 11,nvidia,16.0,512.0,14.0,1.0
cn51528,999.04,5.0,windows 11,intel,16.0,1000.0,15.6,4.0
cn53008,999.05,5.0,windows 11,nvidia,16.0,512.0,13.3,54.0
cn51705,999.18,4.5,windows 11,nvidia,8.0,512.0,15.6,6.0
cn51704sc11,1049.18,4.5,windows 11,nvidia,8.0,512.0,15.6,6.0
cn51704sc,1049.18,4.5,windows 10,nvidia,8.0,512.0,15.6,6.0
cn75604sc11,1099.04,4.7,windows 11,intel,16.0,512.0,15.6,3.0
cn76108,1099.19,4.6,windows 11,intel,16.0,512.0,16.0,3.0
cn77607,1199.03,4.7,windows 11,intel,16.0,512.0,17.0,3.0
